soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
27-2042,Musicians and Singers,*,,36180,,,none,wage suppressed/annual-only
27-2091,"Disc Jockeys, Except Radio",*,,7920,,,none,wage suppressed/annual-only
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",*,,16550,,,none,wage suppressed/annual-only
27-3011,Broadcast Announcers and Radio Disc Jockeys,29050,35360,21240,0.2172,0.0193,flat,
27-3023,"News Analysts, Reporters, and Journalists",35250,45370,39250,0.2871,0.0778,up,
27-3031,Public Relations Specialists,48670,56260,283380,0.1559,-0.0320,down,
27-3041,Editors,48380,57300,91690,0.1844,-0.0082,flat,
27-3042,Technical Writers,61830,70880,45500,0.1464,-0.0400,down,
27-3043,Writers and Authors,49390,58230,47940,0.1790,-0.0127,flat,
27-3091,Interpreters and Translators,38230,46530,52060,0.2171,0.0192,flat,
27-3092,Court Reporters and Simultaneous Captioners,46480,53760,12870,0.1566,-0.0314,down,
27-3099,"Media and Communication Workers, All Other",38560,49790,19590,0.2912,0.0813,up,
27-4011,Audio and Video Technicians,38300,46390,70230,0.2112,0.0143,flat,
27-4012,Broadcast Technicians,30060,40320,21110,0.3413,0.1232,up,
27-4014,Sound Engineering Technicians,42100,49910,13080,0.1855,-0.0073,flat,
27-4015,Lighting Technicians,38470,52770,8900,0.3717,0.1487,up,
27-4021,Photographers,30090,36050,51760,0.1981,0.0033,flat,
27-4031,"Camera Operators, Television, Video, and Film",38430,50920,21550,0.3250,0.1096,up,
27-4032,Film and Video Editors,47350,52720,25610,0.1134,-0.0676,down,
27-4099,"Media and Communication Equipment Workers, All Other",45960,49340,12450,0.0735,-0.1010,down,
29-1011,Chiropractors,50470,60070,39630,0.1902,-0.0033,flat,
29-1021,"Dentists, General",101570,125710,124390,0.2377,0.0364,up,
29-1022,Oral and Maxillofacial Surgeons,198490,204610,4910,0.0308,-0.1368,down,small occupation (<5k employed)
29-1023,Orthodontists,150690,146580,6210,-0.0273,-0.1854,down,
29-1024,Prosthodontists,100570,252050,870,1.5062,1.0987,up,"volatile: likely sampling artifact, consider suppressing; small occupation (<5k employed)"
29-1029,"Dentists, All Other Specialists",86230,166130,5230,0.9266,0.6133,up,"volatile: likely sampling artifact, consider suppressing"
29-1031,Dietitians and Nutritionists,49490,63080,77570,0.2746,0.0674,up,
29-1041,Optometrists,96230,109400,42790,0.1369,-0.0480,down,
29-1051,Pharmacists,121070,129380,321970,0.0686,-0.1051,down,
29-1071,Physician Assistants,99880,120670,162150,0.2081,0.0117,flat,
29-1081,Podiatrists,96320,103730,9680,0.0769,-0.0982,down,
29-1122,Occupational Therapists,75710,82510,162450,0.0898,-0.0874,down,
29-1123,Physical Therapists,77750,86160,267330,0.1082,-0.0720,down,
29-1124,Radiation Therapists,75490,92060,17070,0.2195,0.0212,flat,
